date,amount
10.06.21 Do.,24
11.06.21 Fr.,19
14.06.21 Mo.,26
15.06.21 Di.,23
16.06.21 Mi.,24
17.06.21 Do.,21
18.06.21 Fr.,23
21.06.21 Mo.,23
22.06.21 Di.,21
23.06.21 Mi.,21
24.06.21 Do.,22
25.06.21 Fr.,17
28.06.21 Mo.,20
29.06.21 Di.,19
30.06.21 Mi.,21
01.07.21 Do.,14
02.07.21 Fr.,20
05.07.21 Mo.,23
06.07.21 Di.,16
07.07.21 Mi.,16
08.07.21 Do.,17
09.07.21 Fr.,17
12.07.21 Mo.,17
13.07.21 Di.,17
14.07.21 Mi.,17
15.07.21 Do.,14
16.07.21 Fr.,10
19.07.21 Mo.,18
20.07.21 Di.,14
21.07.21 Mi.,24
22.07.21 Do.,17
23.07.21 Fr.,17
26.07.21 Mo.,14
27.07.21 Di.,17
28.07.21 Mi.,14
29.07.21 Do.,13
30.07.21 Fr.,16
02.08.21 Mo.,14
03.08.21 Di.,16
04.08.21 Mi.,16
05.08.21 Do.,17
06.08.21 Fr.,13
09.08.21 Mo.,15
10.08.21 Di.,15
11.08.21 Mi.,19
12.08.21 Do.,21
13.08.21 Fr.,24
16.08.21 Mo.,20
17.08.21 Di.,18
18.08.21 Mi.,19
19.08.21 Do.,11
20.08.21 Fr.,20
23.08.21 Mo.,19
24.08.21 Di.,20
25.08.21 Mi.,19
26.08.21 Do.,22
27.08.21 Fr.,18
30.08.21 Mo.,20
31.08.21 Di.,20
01.09.21 Mi.,15
02.09.21 Do.,20
03.09.21 Fr.,19
06.09.21 Mo.,19
07.09.21 Di.,18
08.09.21 Mi.,19
09.09.21 Do.,17
10.09.21 Fr.,11
13.09.21 Mo.,23
14.09.21 Di.,23
15.09.21 Mi.,18
16.09.21 Do.,19
17.09.21 Fr.,19
20.09.21 Mo.,17
21.09.21 Di.,20
22.09.21 Mi.,18
23.09.21 Do.,18
24.09.21 Fr.,18
27.09.21 Mo.,21
28.09.21 Di.,20
29.09.21 Mi.,21
30.09.21 Do.,23
01.10.21 Fr.,16
04.10.21 Mo.,18
05.10.21 Di.,19
06.10.21 Mi.,12
07.10.21 Do.,14
08.10.21 Fr.,16
11.10.21 Mo.,19
12.10.21 Di.,20
13.10.21 Mi.,21
14.10.21 Do.,22
15.10.21 Fr.,23
18.10.21 Mo.,16
19.10.21 Di.,19
20.10.21 Mi.,21
21.10.21 Do.,22
22.10.21 Fr.,18
25.10.21 Mo.,20
26.10.21 Di.,20
27.10.21 Mi.,24
28.10.21 Do.,22
29.10.21 Fr.,22
01.11.21 Mo.,14
02.11.21 Di.,18
03.11.21 Mi.,17
04.11.21 Do.,16
05.11.21 Fr.,17
08.11.21 Mo.,17
09.11.21 Di.,21
10.11.21 Mi.,21
11.11.21 Do.,20
12.11.21 Fr.,16
15.11.21 Mo.,17
16.11.21 Di.,15
17.11.21 Mi.,16
18.11.21 Do.,17
19.11.21 Fr.,19
22.11.21 Mo.,16
23.11.21 Di.,17
24.11.21 Mi.,19
25.11.21 Do.,17
26.11.21 Fr.,14
29.11.21 Mo.,17
30.11.21 Di.,17
01.12.21 Mi.,13
02.12.21 Do.,12
03.12.21 Fr.,20
06.12.21 Mo.,18
07.12.21 Di.,18
08.12.21 Mi.,15
09.12.21 Do.,15
10.12.21 Fr.,13
13.12.21 Mo.,15
14.12.21 Di.,16
15.12.21 Mi.,15
16.12.21 Do.,11
17.12.21 Fr.,12
20.12.21 Mo.,13
21.12.21 Di.,15
22.12.21 Mi.,12
23.12.21 Do.,13
24.12.21 Fr.,3
03.01.22 Mo.,10
04.01.22 Di.,16
05.01.22 Mi.,13
06.01.22 Do.,15
07.01.22 Fr.,14
10.01.22 Mo.,15
11.01.22 Di.,13
12.01.22 Mi.,14
13.01.22 Do.,18
14.01.22 Fr.,18
17.01.22 Mo.,19
18.01.22 Di.,13
19.01.22 Mi.,20
20.01.22 Do.,17
21.01.22 Fr.,21
24.01.22 Mo.,21
25.01.22 Di.,18
26.01.22 Mi.,12
27.01.22 Do.,20
28.01.22 Fr.,13
31.01.22 Mo.,17
01.02.22 Di.,15
02.02.22 Mi.,16
03.02.22 Do.,18
04.02.22 Fr.,16
07.02.22 Mo.,14
08.02.22 Di.,15
09.02.22 Mi.,18
10.02.22 Do.,20
11.02.22 Fr.,14
14.02.22 Mo.,17
15.02.22 Di.,17
